ADD-S,ADD-S AUC,fra_cert,class_name
20.0,33.33750915527344,10.0,airplane
8.0,13.987259864807129,6.0,bathtub
2.0,9.638028144836426,2.0,bed
52.0,51.666099548339844,62.0,bottle
22.0,38.21376037597656,42.0,cap
6.0,15.387767791748047,0.0,car
8.0,15.04045295715332,6.0,chair
88.0,75.73095703125,34.0,guitar
34.0,33.19777297973633,26.0,helmet
94.0,84.6333236694336,32.0,knife
4.0,8.639982223510742,4.0,laptop
14.0,27.740148544311523,6.0,motorcycle
64.0,51.25041198730469,24.0,mug
64.0,59.173583984375,36.0,skateboard
10.0,19.093597412109375,10.0,table
10.0,23.274030685424805,2.0,vessel
